Gaussian SVM,"SVC(C=1, gamma=0.1)",0.599285714,0.595190476,0.012225118
Linear SVM,"LinearSVC(C=0.1, dual=False, max_iter=10000, penalty='l1')",0.624761905,0.621333333,0.010469262
MLP1,"MLPClassifier(activation='logistic', batch_size=32, hidden_layer_sizes=(50,),
              max_iter=500)",0.635238095,0.636857143,0.008927016
NB,MultinomialNB(alpha=0.1),0.572619048,0.564857143,0.006827316
K Nearest Neighbour,"KNeighborsClassifier(metric='manhattan', n_neighbors=9)",0.568809524,0.567428571,0.009986839
Decision Tree,DecisionTreeClassifier(max_depth=4),0.580952381,0.584809524,0.013131897
Gradient Booster,GradientBoostingClassifier(random_state=42),0.630238095,0.634571429,0.011446811
Random Forest,"{'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.626428571,0.636095238,0.012666667
MLP2,"MLPClassifier(activation='logistic', alpha=0.001, batch_size=64,
              hidden_layer_sizes=(50,), learning_rate='adaptive',
              max_iter=2000)",0.627857143,0.636190476,0.012595216
MLP3,"MLPClassifier(activation='logistic', batch_size=32, max_iter=500)",0.6290476190476191,0.6356666666666666,0.01110545207362748
Logistic Regression,"LogisticRegression(C=10, max_iter=10000, penalty='l1', solver='saga')",0.5857142857142857,0.5862380952380952,0.01001008561696437
